"url","price","course_by","title","skills","ratings","reviews","level, type and duration"
"https://www.coursera.org/learn/literacy-teaching-learning","Free","University of Illinois at Urbana-Champaign","Literacy Teaching and Learning: Aims, Approaches and Pedagogies","Business Analysis, Business Psychology, Communication, Critical Thinking, Entrepreneurship, Human Learning, Human Resources, Leadership and Management, People Development, Planning, Research and Design, Strategy and Operations, Supply Chain and Logistics, Writing","4.4","(63 reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/uol-public-history","Free","University of London","Applied Public History: Places, People, Stories","Leadership and Management, Business Psychology, Communication, Culture, Strategy and Operations, Research and Design, Change Management, Collaboration, Creativity, Data Visualization, Entrepreneurship, Geovisualization, Visual Design","4.8","(71 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/teaching","Free","Commonwealth Education Trust","Foundations of Teaching for Learning: Introduction","Business Psychology, Entrepreneurship, Human Learning, Human Resources, Leadership and Management, People Development, Business Analysis, Critical Thinking, Professional Development, Research and Design, Strategy and Operations","4.6","(724 reviews)","Mixed · Course · 1-4 Weeks"
"https://www.coursera.org/learn/music-and-social-action","Free","Yale University","Music and Social Action","Critical Thinking, Research and Design, Strategy and Operations, Creativity, Entrepreneurship","4.7","(161 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/interest-rate-models","Free","École Polytechnique Fédérale de Lausanne","Interest Rate Models","Finance, Investment Management, Calculus, Mathematics, Accounting, Business Analysis, Data Analysis, Financial Analysis, General Statistics, Probability & Statistics","4.5","(178 reviews)","Advanced · Course · 1-3 Months"
"https://www.coursera.org/learn/360-vr-video-production","Free","Google AR & VR","VR and 360 Video Production","Computer Graphics, Human Computer Interaction, Virtual Reality, Communication, Media Production, Storytelling","4.7","(813 reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/brasileiro-portugues","Free","Universidade Estadual de Campinas","Pluralidades em Português Brasileiro","Business Psychology, Culture, Leadership and Management, Business Analysis, Communication, Computational Logic, Critical Thinking, Mathematical Theory & Analysis, Mathematics, Research and Design, Strategy and Operations, Theoretical Computer Science, Writing","4.8","(814 reviews)","Advanced · Course · 1-3 Months"
"https://www.coursera.org/learn/estadistica-probabilidad","Free","Universidad Nacional Autónoma de México","Estadística y probabilidad","General Statistics, Probability & Statistics","4.6","(1.4k reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/projects/use-canva-to-create-social-media-visuals-for-business","","Coursera Project Network","Use Canva to Create Social Media Visuals for Business","Communication, Computer Graphics, Entrepreneurship, Marketing, Research and Design, Social Media, Visual Design, Digital Marketing, Graphic Design","4.5","(1.2k reviews)","Beginner · Guided Project · Less Than 2 Hours"
"https://www.coursera.org/learn/formacion-pensamiento-critico","Free","Universitat Autònoma de Barcelona","La formación del pensamiento crítico en la era digital","Business Analysis, Critical Thinking, Research and Design, Strategy and Operations, Communication, Marketing, Social Media, Human Learning","4.8","(174 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/parasitology","Free","Duke University","Tropical Parasitology: Protozoans, Worms, Vectors and Human Diseases","Epidemiology, Probability & Statistics","4.7","(568 reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/fundamentals-of-graphic-design-ru","Free","California Institute of the Arts","Основы графического дизайна","Research and Design, Visual Design, Computer Graphics, Graphic Design","4.9","(282 reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/astronomy-technology","Free","The University of Edinburgh","AstroTech: The Science and Technology behind Astronomical Discovery","Mathematics, Scientific Visualization","4.7","(1k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/fundamentals-population-health-management","Free","Universiteit Leiden","Population Health: Fundamentals of Population Health Management","Leadership and Management, Critical Thinking, Epidemiology, Strategy and Operations","4.3","(38 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/film-images","Free","University of London","Film, Images & Historical Interpretation in the 20th Century: The Camera Never Lies","Communication, Journalism, Business Psychology, Culture, Leadership and Management, Business Analysis, Critical Thinking, Research and Design, Strategy and Operations","4.6","(310 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/responsible-management","Free","University of Manchester","Managing Responsibly: Practicing Sustainability, Responsibility and Ethics","Leadership and Management","4.8","(511 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/chemical-biology","Free","University of Geneva","Chemical Biology","Bioinformatics, Epidemiology, Experiment, Probability & Statistics","4.7","(103 reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/black-holes-astro-101","Free","University of Alberta","Astro 101: Black Holes","Mathematics, Data Visualization, Scientific Visualization","4.8","(962 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/taiwan-law-in-focus-economy-society-and-democracy","Free","National Taiwan University","Taiwan Law in Focus: Economy, Society and Democracy","Applied Machine Learning, Machine Learning","4.7","(13 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/computer-vision-with-embedded-machine-learning","Free","Edge Impulse","Computer Vision with Embedded Machine Learning","Computer Vision, Machine Learning, Artificial Neural Networks, Deep Learning, Estimation, General Statistics, Machine Learning Algorithms, Probability & Statistics, Computer Programming, Python Programming","4.7","(88 reviews)","Intermediate · Course · 1-4 Weeks"
"https://www.coursera.org/learn/3d-modeling-rhinoscript","Free","University of Michigan","Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript","Computer Programming, Python Programming, Statistical Programming, Theoretical Computer Science, Computational Thinking, Data Management, Data Structures, Programming Principles","4.9","(76 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/water-management","Free","University of Geneva","Water Resources Management and Policy","Leadership and Management, Entrepreneurship, Conflict Management, Human Resources","4.6","(1.1k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/pbc2","Free","National Taiwan University","用 Python 做商管程式設計（二）(Programming for Business Computing in Python (2))","Computer Programming, Python Programming, Statistical Programming, Data Management, Data Structures, Theoretical Computer Science, Microsoft Excel","4.6","(233 reviews)","Intermediate · Course · 1-4 Weeks"
"https://www.coursera.org/learn/rengong-zhineng","Free","National Taiwan University","人工智慧：搜尋方法與邏輯推論 (Artificial Intelligence - Search & Logic)","","4.8","(266 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/infection-prevention","Free","The University of North Carolina at Chapel Hill","Infection Prevention in Nursing Homes","Epidemiology, Probability & Statistics","4.8","(1k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/mastering-digital-twins","Free","EIT Digital","Mastering Digital Twins","Machine Learning","4.1","(372 reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/wireless-communications","Free","Yonsei University","Wireless Communications for Everybody","Communication, Network Architecture, Computer Networking, Computer Architecture","4.7","(2.3k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/complex-analysis","Free","Wesleyan University","Introduction to Complex Analysis","Mathematics, Mathematical Theory & Analysis, Algebra, Calculus","4.8","(1k reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/richard-schechners-introduction-to-performance-studies","Free","New York University","Richard Schechner's Introduction to Performance Studies","Critical Thinking, Research and Design, Strategy and Operations, Communication, Business Psychology, Culture, Leadership and Management, Computer Programming, Marketing, Operating Systems, Software Engineering, Software Testing, System Programming","4.7","(55 reviews)","Beginner · Course · 3-6 Months"
